Unnamed: 0,Date,User,Tweet,Location,ppt
314,2023-03-24 17:28:59+00:00,GalihSptra15,"Presiden Jokowi berbincang dengan Menhan Prabowo Subianto dan Gubernur Jawa Tengah Ganjar Pranowo.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Jakarta,"['presiden', 'jokowi', 'bincang', 'menhan', 'prabowo', 'subianto', 'gubernur', 'jawa', 'tengah', 'ganjar', 'pranowo', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
315,2023-03-24 17:26:43+00:00,diantyrhmaa_,"Pangi menjelaskan alasan mengapa duet Ganjar-Prabowo berpeluang bisa memenangkan Pilpres 2024.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Semarang,"['pangi', 'jelas', 'alas', 'duet', 'ganjar-prabowo', 'peluang', 'menang', 'pilpres', '2024', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
316,2023-03-24 17:25:36+00:00,b_geffye,"Begini alasan Pengamat politik soal peluang duet Ganjar-Prabowo.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Bandung,"['begini', 'alas', 'amat', 'politik', 'soal', 'peluang', 'duet', 'ganjar-prabowo', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
317,2023-03-24 17:25:28+00:00,langrmdnn_,"Pangi Syarwi Chaniago: ""Ganjar-Prabowo itu masih realistis, rasional, dan ada peluang menangnya,"".capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Lampung,"['pangi', 'syarwi', 'chaniago', 'ganjar-prabowo', 'realistis', 'rasional', 'peluang', 'menang', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
318,2023-03-24 17:25:17+00:00,janemandaa_,"Duet Ganjar dan Prabowo dinilai berpeluang dapat memenangkan Pilpres 2024.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Solo,"['duet', 'ganjar', 'prabowo', 'nilai', 'peluang', 'menang', 'pilpres', '2024', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
319,2023-03-24 17:25:02+00:00,alexaptrii_,"Duet Ganjar dan Prabowo Berpeluang Menang Pilpres 2024, Ini Alasan menurut Pengamat.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Malang,"['duet', 'ganjar', 'prabowo', 'peluang', 'menang', 'pilpres', '2024', 'ini', 'alas', 'amat', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
320,2023-03-24 17:21:50+00:00,AlfabetHana,"Dahnil merespon belum lama ini Presiden Joko Widodo terlihat meng-endorse duet Prabowo-Ganjar.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Jakarta,"['dahnil', 'merespon', 'lama', 'presiden', 'joko', 'widodo', 'lihat', 'meng-endorse', 'duet', 'prabowo-ganjar', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
321,2023-03-24 17:20:53+00:00,AisyaAmalia_,"Hal ini disampaikan Dasco saat disinggung mengenai sikap Gerindra atas wacana duet Prabowo dengan Ganjar.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra","Tangerang, Indonesia","['hal', 'sampai', 'dasco', 'singgung', 'kena', 'sikap', 'gerindra', 'atas', 'wacana', 'duet', 'prabowo', 'ganjar', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
322,2023-03-24 17:16:25+00:00,aprilia20_kevin,"Untuk itu, Adi menyebut pasangan Prabowo dan Ganjar bisa saling melengkapi untuk meraup suara.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",jakarta,"['untuk', 'itu', 'adi', 'sebut', 'pasang', 'prabowo', 'ganjar', 'saling', 'lengkap', 'raup', 'suara', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
323,2023-03-24 17:16:18+00:00,SyamsudinRijal,"Adi menyebut jika Prabowo dan Ganjar berpasangan capres cawapres punya kekuatan politik yang menjanjikan.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",depok,"['adi', 'sebut', 'prabowo', 'ganjar', 'pasang', 'capres', 'cawapres', 'punya', 'kuat', 'politik', 'janji', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
