Unnamed: 0,Date,User,Tweet,Location,ppt
922,2023-03-19 08:34:20+00:00,rang_simabua,"RT @AH_SiregarXIX: Pak @prabowo kami hargai putusan bapak, tapi kalau bapak kami bilang orang yg tak punya prinsip, harap maklum. Bapak bil…",Indonesia,"['rt', 'ah', 'siregarxix', 'pak', 'prabowo', 'harga', 'putus', 'bapak', 'kalau', 'bapak', 'bilang', 'orang', 'yg', 'tak', 'punya', 'prinsip', 'harap', 'maklum', 'bapak', 'bil']"
923,2023-03-19 08:34:15+00:00,Malao_Ngeluh,RT @fxnetizen: @democrazymedia Memikirkan rakyat kecil tapi rakyatnya makin miskin pejabatnya malah makin kaya raya kayak elu @prabowo http…,ありがとう,"['rt', 'fxnetizen', 'democrazymedia', 'pikir', 'rakyat', 'kecil', 'rakyat', 'makin', 'miskin', 'jabat', 'malah', 'makin', 'kaya', 'raya', 'kayak', 'elu', 'prabowo', 'http']"
924,2023-03-19 08:33:51+00:00,Enc131211Enc,@BANGSAygSUJUD @prabowo @azissubekti @bengkeldodo @NgkongRoses @are_inismyname @florieliciouss @emham08… https://t.co/jxIP5R5M69,,"['bangsaygsujud', 'prabowo', 'azissubekti', 'bengkeldodo', 'ngkongroses', 'are', 'inismyname', 'florieliciouss', 'emham08', 'https', 't', 'co', 'jxip5r5m69']"
925,2023-03-19 08:32:48+00:00,tapin_polres,"Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/a8Fg6SR8wc., dianugerahi gelar Patih Bakula oleh Ta… https://t.co/OBfJaOffV2",,"['kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'https', 't', 'co', 'a8fg6sr8wc', 'anugerah', 'gelar', 'patih', 'bakula', 'ta', 'https', 't', 'co', 'obfjaoffv2']"
926,2023-03-19 08:32:36+00:00,tangkulara,"""Kinerja Prabowo yang masih moncer di bidang pertahanan. Tak dipungkiri Jokowi pun sering tampil memberi penghargaa… https://t.co/NkK2hDDOBz",,"['kerja', 'prabowo', 'moncer', 'bidang', 'tahan', 'tak', 'dipungkiri', 'jokowi', 'sering', 'tampil', 'beri', 'penghargaa', 'https', 't', 'co', 'nkk2hddobz']"
927,2023-03-19 08:32:31+00:00,tangkulara,Lantas apa yang menjadi faktor sehingga Prabowo Subianto berada di urutan teratas di 3 (tiga) variabel tersebut. Sa… https://t.co/HC9eGy4aNv,,"['lantas', 'apa', 'jadi', 'faktor', 'prabowo', 'subianto', 'ada', 'urut', 'atas', '3', 'tiga', 'variabel', 'sebut', 'sa', 'https', 't', 'co', 'hc9egy4anv']"
928,2023-03-19 08:32:24+00:00,anaferiana67,"RT @BANGSAygSUJUD: Inikah sosok yg selalu kalian rendahkan? 

Di sini kalian sibuk memperolok, di negeri seberang namanya harum lagi dimuli…",,"['rt', 'bangsaygsujud', 'ini', 'sosok', 'yg', 'selalu', 'kalian', 'rendah', 'di', 'sini', 'kalian', 'sibuk', 'olok', 'negeri', 'seberang', 'nama', 'harum', 'dimuli']"
929,2023-03-19 08:32:21+00:00,Penjejakbumi01,@Heraloebss @NegaraKecil @ListyoSigitP Pak @aniesbaswedan atau @prabowo nanti kalau diantara kalian ada yg jd presi… https://t.co/88kpFGj88W,,"['heraloebss', 'negarakecil', 'listyosigitp', 'pak', 'aniesbaswedan', 'prabowo', 'kalau', 'antara', 'kalian', 'yg', 'jd', 'pres', 'https', 't', 'co', '88kpfgj88w']"
930,2023-03-19 08:32:00+00:00,tangkulara,"Tingkat Likeabilitas ;
Prabowo Subianto : 87,8%
Ganjar Pranowo : 64,5%
Ridwan Kamil : 61,7%
Anies Baswedan : 60,2%… https://t.co/aMuzcjo2YW",,"['tingkat', 'likeabilitas', 'prabowo', 'subianto', '87', '8', 'ganjar', 'pranowo', '64', '5', 'ridwan', 'kamil', '61', '7', 'anies', 'baswedan', '60', '2', 'https', 't', 'co', 'amuzcjo2yw']"
931,2023-03-19 08:31:30+00:00,tangkulara,"Tingkat Popularitas ;
Prabowo Subianto : 97%
Sandiaga Uno : 89,1%
Ganjar Pranowo : 89%
Anies Baswedan : 89%
Ridwan… https://t.co/LiCqzrh7mS",,"['tingkat', 'popularitas', 'prabowo', 'subianto', '97', 'sandiaga', 'uno', '89', '1', 'ganjar', 'pranowo', '89', 'anies', 'baswedan', '89', 'ridwan', 'https', 't', 'co', 'licqzrh7ms']"
