Unnamed: 0,Date,User,Tweet,Location,ppt
162,2022-06-02 15:57:12+00:00,Hanny_apri,"Sedih nyesek banget liad postingan ibunya Eril ,
Tiap hari pantau terus aja ,semoga ad keajaiban ,

Yg tabah Pak @ridwankamil ,🥲","Hometown, pontianak","['sedih', 'nyesek', 'banget', 'liad', 'postingan', 'ibu', 'eril', 'tiap', 'hari', 'pantau', 'terus', 'aja', 'moga', 'ad', 'ajaib', 'yg', 'tabah', 'pak', 'ridwankamil']"
163,2022-06-02 04:27:57+00:00,DhanySSat,"Jika anak berpulang dahulu dipanggil Tuhan, terasa berat waktu melihat awal badan membujur kaku dan air mata tiba-tiba menetes deras yang disayang telah Tiada di Dunia.
Turut Berbela Sungkawa pak @ridwankamil , Almarhum telah diterima di Sisi Allah dan mendapatkan tempat terbaik.",World of Peace,"['jika', 'anak', 'pulang', 'panggil', 'tuhan', 'asa', 'berat', 'waktu', 'lihat', 'awal', 'badan', 'bujur', 'kaku', 'air', 'mata', 'tiba', 'tetes', 'deras', 'sayang', 'tiada', 'dunia', 'turut', 'bela', 'sungkawa', 'pak', 'ridwankamil', 'almarhum', 'terima', 'sisi', 'allah', 'dapat', 'tempat', 'baik']"
164,2022-06-01 23:27:28+00:00,RutchHelena,"Kang Emil @ridwankamil saya ketemu bulan lalu, sehari setelah lebaran di Cikole, Lembang sewaktu kami otw ke Ciater. Saya panggil &amp; kang Emil melambaikan tangan &amp; tersenyum lebar, bahagia sekali. Apapun yg terjadi tetaplah kuat, tabah dan selalu tersenyum 🙏","Jakarta, Indonesia 🇮🇩","['kang', 'emil', 'ridwankamil', 'ketemu', 'bulan', 'lalu', 'hari', 'lebaran', 'cikole', 'lembang', 'waktu', 'otw', 'ciater', 'saya', 'panggil', 'amp', 'kang', 'emil', 'lambai', 'tangan', 'amp', 'senyum', 'lebar', 'bahagia', 'sekali', 'apa', 'yg', 'jadi', 'tetap', 'kuat', 'tabah', 'selalu', 'senyum']"
165,2022-06-01 10:12:13+00:00,qoyahcatty,"Pasti kalian mikirin anaknya kang emil juga kan gaess?? 🥲🥲🥲
Semoga cepet ketemu dlm keadaan selamat, hidup, sehat wal afiat... Aamin allahumma amiin
Sabar ya kang @ridwankamil","Sumatera Selatan, Indonesia","['pasti', 'kalian', 'mikirin', 'anak', 'kang', 'emil', 'kan', 'gaess', 'moga', 'cepet', 'ketemu', 'dlm', 'ada', 'selamat', 'hidup', 'sehat', 'wal', 'afiat', 'aamin', 'allahumma', 'amiin', 'sabar', 'kang', 'ridwankamil']"
166,2022-06-01 01:16:55+00:00,Bambali_Im,"Perihal kawan-kawan yang tidak senang dengan kang @ridwankamil karena perbedaan pandangan, itu hal yang demokratis.
Tapi tolong; untuk musibah hilangnya Eril, jangan diframing dg bahasa macam macam.
Fokus berdoa untuk keselamatan Eril 🤲 #Pancasila 🇮🇩","Sukabumi, Indonesia","['perihal', 'kawan', 'senang', 'kang', 'ridwankamil', 'beda', 'pandang', 'demokratis', 'tapi', 'tolong', 'musibah', 'hilang', 'eril', 'jangan', 'diframing', 'dg', 'bahasa', 'macam', 'macam', 'fokus', 'doa', 'selamat', 'eril', 'pancasila']"
167,2022-06-01 01:07:06+00:00,drajatwicks,"Udah memasuki Juni, semoga Eril ananda kang Emil @ridwankamil segera ditemukan, Amin Ya Rabbal Alamin","Yogyakarta, Indonesia","['udah', 'pasuk', 'juni', 'moga', 'eril', 'ananda', 'kang', 'emil', 'ridwankamil', 'segera', 'temu', 'amin', 'ya', 'rabbal', 'alamin']"
168,2022-05-31 15:49:47+00:00,reisnunu,Sedih kali kalo inget musibahnya pak @ridwankamil,"Serenan, Juwiring, Klaten","['sedih', 'kali', 'kalo', 'inget', 'musibah', 'pak', 'ridwankamil']"
169,2022-05-31 11:22:40+00:00,jenesbig,"Masih Berharap .. Sampai detik ini.. Eril masih selamat dan kembali bertemu kang @ridwankamil .. keluarga ini orang baikk... 
Semoga eril skrg lagi di rumah warga
#eril",Indonesia,"['masih', 'harap', 'sampai', 'detik', 'ini', 'eril', 'selamat', 'temu', 'kang', 'ridwankamil', 'keluarga', 'orang', 'baikk', 'moga', 'eril', 'skrg', 'rumah', 'warga', 'eril']"
170,2022-05-31 08:30:13+00:00,DewiLeba,Yang ngeluarin statement ramalan soal anaknya @ridwankamil .. anda bisa DIAM tidakkkk 🤫,,"['yang', 'ngeluarin', 'statement', 'ramal', 'soal', 'anak', 'ridwankamil', 'diam', 'tidakkkk']"
171,2022-05-31 05:50:55+00:00,sandymorello,Semoga diberi yang terbaik oleh Allah ﷻ untuk putra Kang Emil @ridwankamil,"Cileunyi, Indonesia","['moga', 'beri', 'baik', 'allah', 'putra', 'kang', 'emil', 'ridwankamil']"
172,2022-05-30 16:19:34+00:00,m_ikhwanulmus,Doa terbaik kami untuk A Eril Pak Gub @ridwankamil Yang tabah yang kuat ya kang. Mugi enggal aya kabar baik 🙏,"Tabanan, Indonesia","['doa', 'baik', 'a', 'eril', 'pak', 'gub', 'ridwankamil', 'yang', 'tabah', 'kuat', 'kang', 'mugi', 'enggal', 'aya', 'kabar', 'baik']"
173,2022-05-30 07:18:51+00:00,amin_agustin,Semoga segera ditemukan putra sulung Kang @ridwankamil. Teringat kakak saya yg wafat tenggelam di sungai Ciliwung. 12 jam baru ditemukan jasadnya. Saya pun pernah tenggelam tapi Allah masih memberikan kesempatan utk hidup.,,"['moga', 'segera', 'temu', 'putra', 'sulung', 'kang', 'ridwankamil', 'ingat', 'kakak', 'yg', 'wafat', 'tenggelam', 'sungai', 'ciliwung', '12', 'jam', 'baru', 'temu', 'jasad', 'saya', 'pernah', 'tenggelam', 'allah', 'beri', 'sempat', 'utk', 'hidup']"
174,2022-05-30 03:30:25+00:00,FerdiRosman,"Semoga Aa Eril bisa ditemukan
Teruslah mencari dan mencari sambil berdo'a
Bismillah..
Astaghfirullah..
Allahumma sholli ‘ala Muhammad wa ‘ala ali Muhammad..
La Haula Wala Quwwata Illa Billahil Aliyil Adzim..
Sedekah..
@ridwankamil",,"['moga', 'aa', 'eril', 'temu', 'terus', 'cari', 'cari', 'berdo', 'a', 'bismillah', 'astaghfirullah', 'allahumma', 'sholli', 'ala', 'muhammad', 'wa', 'ala', 'ali', 'muhammad', 'la', 'haula', 'wala', 'quwwata', 'illa', 'billahil', 'aliyil', 'adzim', 'sedekah', 'ridwankamil']"
175,2022-05-29 12:09:59+00:00,syamsuladzic,Kang @ridwankamil sareng kaluwargi sing mugi dipasihan kakiatan keun nampi cobian ieu.. Sing mugi pun anak tiasa dipatepangkeun deui dina kaayaan sehat walafiat.,"ÜT: -6.1967875,106.8353843","['kang', 'ridwankamil', 'sareng', 'kaluwargi', 'sing', 'mugi', 'dipasihan', 'kakiatan', 'keun', 'nampi', 'cobian', 'ieu', 'sing', 'mugi', 'anak', 'tiasa', 'dipatepangkeun', 'deui', 'dina', 'kaayaan', 'sehat', 'walafiat']"
176,2022-05-29 06:50:49+00:00,biyaws,"I am literally waking up everyday hoping pak @ridwankamil finds his son soon, aamiin YRA. 😢

Anak hilang dibalik rak baju mall aja rasanya sesek nafas, apalagi di sungai/alam yg luas banget..","Sydney, AU","['i', 'am', 'literally', 'waking', 'up', 'everyday', 'hoping', 'pak', 'ridwankamil', 'finds', 'his', 'son', 'soon', 'aamiin', 'yra', 'anak', 'hilang', 'balik', 'rak', 'baju', 'mall', 'aja', 'rasa', 'sek', 'nafas', 'sungai', 'alam', 'yg', 'luas', 'banget']"
177,2022-05-29 02:45:06+00:00,rvaerv,Semoga Eril juga segera ketemu. Sending prayers to Pak @ridwankamil &amp; Ibu @ataliapr family 🤲,In your heart!,"['moga', 'eril', 'segera', 'ketemu', 'sending', 'prayers', 'to', 'pak', 'ridwankamil', 'amp', 'ibu', 'ataliapr', 'family']"
178,2022-05-29 02:02:21+00:00,ecat210,Ya Allah semoga putra dr kang @ridwankamil bisa ditemukan dgn selamat. Sebagai seorang bapak gw paham bgt apa yg dirasakan kang Emil. Aamiin,"ÜT: -6.279115,106.797247","['ya', 'allah', 'moga', 'putra', 'dr', 'kang', 'ridwankamil', 'temu', 'dgn', 'selamat', 'bagai', 'orang', 'bapak', 'gw', 'paham', 'bgt', 'apa', 'yg', 'rasa', 'kang', 'emil', 'aamiin']"
179,2022-05-28 13:29:24+00:00,marzukialie_MA,"Kami atas nama keluarga besar @universitas_igm mendoakan semoga Emmeril, putra dari bp @ridwankamil segera ditemukan dalam keadaan selamat dan sehat wal afiat .. aamiin aamiin YRA 🙏🙏🙏",Jakarta - Indonesia,"['kami', 'atas', 'nama', 'keluarga', 'besar', 'universitas', 'igm', 'doa', 'moga', 'emmeril', 'putra', 'bp', 'ridwankamil', 'segera', 'temu', 'ada', 'selamat', 'sehat', 'wal', 'afiat', 'aamiin', 'aamiin', 'yra']"
180,2022-05-28 12:43:56+00:00,andyfaisal_ft,"Ikut prihatin atas musibah yg sedang di alami oleh kel. kang @ridwankamil, semoga di beri kemudahan pencariannya dan ditemukan dalam keadaan sehat walafiat .. aamiin",,"['ikut', 'prihatin', 'atas', 'musibah', 'yg', 'sedang', 'alami', 'kel', 'kang', 'ridwankamil', 'moga', 'beri', 'mudah', 'cari', 'temu', 'ada', 'sehat', 'walafiat', 'aamiin']"
181,2022-05-28 11:22:47+00:00,pandawa5__Roy__,"belum ada kabar terbaru terkait putra gubernur Jabar 
@ridwankamil 
Yang hanyut,", Indonesia,"['kabar', 'baru', 'kait', 'putra', 'gubernur', 'jabar', 'ridwankamil', 'yang', 'hanyut']"
182,2022-05-28 10:22:17+00:00,HeniSunari,semoga keluarga pak @ridwankamil diberikan kekuatan dan kesabaran dan semoga Eril di temukan segera🤲 aamiin yaa Rabb,cijantung ~ jakarta timur,"['moga', 'keluarga', 'pak', 'ridwankamil', 'beri', 'kuat', 'sabar', 'moga', 'eril', 'temu', 'segera', 'aamiin', 'yaa', 'rabb']"
183,2022-05-28 09:36:07+00:00,puisi_dua_hati,"Semoga diberikan kesabaran dan ketabahan untuk @ridwankamil dan keluarga 
Semoga lekas di temukan Ananda #eril",Bandung,"['moga', 'beri', 'sabar', 'tabah', 'ridwankamil', 'keluarga', 'moga', 'lekas', 'temu', 'ananda', 'eril']"
184,2022-05-28 08:24:26+00:00,RyanSpongeID,Semoga Mas Eril cepat di temukan dalam keadaan selamat dan sehat walafiat sehingga bisa berkumpul bersama keluarga. Mari kita bantu Doa agar cepat di temukan.. Amin.. Om @ridwankamil dan keluarga semoga sabar dan tabah..,"Jakarta Selatan, DKI Jakarta","['moga', 'mas', 'eril', 'cepat', 'temu', 'ada', 'selamat', 'sehat', 'walafiat', 'kumpul', 'sama', 'keluarga', 'mari', 'bantu', 'doa', 'cepat', 'temu', 'amin', 'om', 'ridwankamil', 'keluarga', 'moga', 'sabar', 'tabah']"
185,2022-05-28 04:29:13+00:00,UlfaThamrin,"Semoga eril pulang dalam keadaan selamat, nggak berhenti² buka google, twitter, ig, youtobe buat mastiin ada kabar baik dari anak bapak @ridwankamil.",Indonesia,"['moga', 'eril', 'pulang', 'ada', 'selamat', 'henti', 'buka', 'google', 'twitter', 'ig', 'youtobe', 'buat', 'mastiin', 'kabar', 'baik', 'anak', 'bapak', 'ridwankamil']"
186,2022-05-28 04:14:44+00:00,wahju_wibowo,"Yang tabah, tawakal kang @ridwankamil , semoga ananda Eril segera ditemukan dalam kondisi terbaik, selamat, sehat.",,"['yang', 'tabah', 'tawakal', 'kang', 'ridwankamil', 'moga', 'ananda', 'eril', 'segera', 'temu', 'kondisi', 'baik', 'selamat', 'sehat']"
187,2022-05-27 23:26:23+00:00,Bdoel_berkelana,Sebagai salah satu wargi Jabar. Pak @ridwankamil benar2 memajukan Provinsi ini. Turut sedih atas kabar mengenai anak beliau. Smoga diberikan yang terbaik yah Pak. Aamiin,"Cimanggis, Indonesia","['bagai', 'salah', 'satu', 'wargi', 'jabar', 'pak', 'ridwankamil', 'benar2', 'maju', 'provinsi', 'ini', 'turut', 'sedih', 'atas', 'kabar', 'kena', 'anak', 'beliau', 'smoga', 'beri', 'baik', 'yah', 'pak', 'aamiin']"
188,2022-05-27 16:51:27+00:00,khrnasalsa,semoga segera dapat kabar baik Pa @ridwankamil &amp; keluarga tetap dlm lindungan-Nya. Aamiin 🙏🏻,"BDG, INA","['moga', 'segera', 'kabar', 'baik', 'pa', 'ridwankamil', 'amp', 'keluarga', 'tetap', 'dlm', 'lindung', 'aamiin']"
189,2022-05-27 16:46:54+00:00,bungfahmiSBY,"Semoga Eril, anak pak Ridwal Kamil segera ditemukan dalam keadaan sehat. @ridwankamil","Kota Surabaya, Jawa Timur","['moga', 'eril', 'anak', 'pak', 'ridwal', 'kamil', 'segera', 'temu', 'ada', 'sehat', 'ridwankamil']"
190,2022-05-27 16:42:16+00:00,ArnandoPutra,Alfatihah @ridwankamil,"Jakarta Capital Region, Indone","['alfatihah', 'ridwankamil']"
191,2022-05-27 15:34:36+00:00,mickeynasution,"Sedih melihat timeline tentang hilangnya putra dari Kang @ridwankamil di sungai di Swiss.
Semoga dapat ditemukan dalam kondisi selamat dan sehat.
Aamiin Ya Rabb.",Indonesia,"['sedih', 'lihat', 'timeline', 'hilang', 'putra', 'kang', 'ridwankamil', 'sungai', 'swiss', 'moga', 'temu', 'kondisi', 'selamat', 'sehat', 'aamiin', 'ya', 'rabb']"
192,2022-05-27 15:32:56+00:00,ALTAismyname,Anak bapak diculik kali pak @ridwankamil! 😭,Earth 🌏,"['anak', 'bapak', 'culik', 'kali', 'pak', 'ridwankamil']"
193,2022-05-27 14:31:08+00:00,RyanChr,"Min, punten mau tanya, kalau parkir di lengkong kecil emang utk mobil skr 10.000? Kalau engga mohon di bantu viralkan, karena td sy tanya ada karcis resmi aja ga ada...
@PRFMnews @dishub_jabar @kangyanamulyana @ridwankamil",,"['min', 'punten', 'mau', 'tanya', 'kalau', 'parkir', 'lengkong', 'kecil', 'emang', 'utk', 'mobil', 'skr', '10', '000', 'kalau', 'engga', 'mohon', 'bantu', 'viralkan', 'td', 'sy', 'tanya', 'karcis', 'resmi', 'aja', 'ga', 'ada', 'prfmnews', 'dishub', 'jabar', 'kangyanamulyana', 'ridwankamil']"
194,2022-05-27 13:58:47+00:00,asal_info,"Untuk keluarga besar kang Emil ""Ridwan Kamil"", jangan putus berharap kepada Allah Ta'ala, Insya Allah putranya Eril dapat di temukan dalam keadaan yang terbaik...Aamiin

Doa kami menyertaimu kang @ridwankamil  🤲",Jakarta,"['untuk', 'keluarga', 'besar', 'kang', 'emil', 'ridwan', 'kamil', 'jangan', 'putus', 'harap', 'allah', 'ta', 'ala', 'insya', 'allah', 'putra', 'eril', 'temu', 'ada', 'baik', 'aamiin', 'doa', 'serta', 'kang', 'ridwankamil']"
